ml_dataset_index,pista_raw,responsável,1-jogo-de-palavras-anagrama-cacofonia,2-ref-visual-observavel-team-rua,3-criptografia,4-ref-historica-mitologia,5-cultura-pop-conhecimento-geral,6-ref-interna-cidade-universitaria,7-ref-externa-campus,8-caminho-trajetória-roteiro,9-manipular-imagens,10-busca-listas-elencaçoes-clusters,11-links-site-integra-daquele-ano,12-tarefa-não-papel,Método_agregado,autor_raw,macro_raw,micro_raw,explicação_raw,interna_raw,tem_texto?,tem_explicação?,tem_macro?,é_papel?,ano,revisar?,rotulado_metodo,link,2017_respostas,2016_observaçao,2015_dificuldade,prompt,prompt_pista,macro_depara
ML_2022_00198,"- Alô? Sérgio?
 - Oi, não posso falar agora. 
 - Por quê?
 - O coordenador do biênio está andando a cavalo comigo",Dose,1,,,,1,,,,,,,,,,IEE,Interfone,"A pista conta com o nome Sérgio, além disso cita o coordenador do biênio da Poli chamado Neiva. Andando a cavalo leva para cavalgando. Portanto temos o nome Sérgio Neiva Cavalcanti, nome de Sergio Mallandro, conhecido pelo seu icônico bordão IE E, levando ao IEE USP. A pista está no formato de telefonema, levando ao micro.",,TRUE,TRUE,TRUE,,2022,,TRUE,,,,,"||Pista: - Alô? Sérgio?
 - Oi, não posso falar agora. 
 - Por quê?
 - O coordenador do biênio está andando a cavalo comigo | Explicação: A pista conta com o nome Sérgio, além disso cita o coordenador do biênio da Poli chamado Neiva. Andando a cavalo leva para cavalgando. Portanto temos o nome Sérgio Neiva Cavalcanti, nome de Sergio Mallandro, conhecido pelo seu icônico bordão IE E, levando ao IEE USP. A pista está no formato de telefonema, levando ao micro. | Macro: IEE | Micro: Interfone","||Pista: - Alô? Sérgio?
 - Oi, não posso falar agora. 
 - Por quê?
 - O coordenador do biênio está andando a cavalo comigo",IEE
ML_2016_00276,"- Alpha Crucis, meu PC deu pau.
 - E agora, Alpha Delphini, como vamos jogar CS?
 - Ah! Eu tenho uma idéia...",Massa,1,,,,1,1,,,,,,,,Massa,IAG,"Laboratório de 
 Astroinformática","Alpha Crucis e Alpha Delphini são duas estrelas, 
 o que por si remete ao IAG.
 A pista remete a estrelas querendo utilizar
 computador.
 Dentro do IAG, existe o Laboratório 
 de Astroinformática, no qual um dos
 computadores se chama Alphacrucis.",Interna,TRUE,TRUE,TRUE,,2016,,TRUE,,,"Macro usual.
 Micro pouco conhecido.",,"||Pista: - Alpha Crucis, meu PC deu pau.
 - E agora, Alpha Delphini, como vamos jogar CS?
 - Ah! Eu tenho uma idéia... | Explicação: Alpha Crucis e Alpha Delphini são duas estrelas, 
 o que por si remete ao IAG.
 A pista remete a estrelas querendo utilizar
 computador.
 Dentro do IAG, existe o Laboratório 
 de Astroinformática, no qual um dos
 computadores se chama Alphacrucis. | Macro: IAG | Micro: Laboratório de 
 Astroinformática","||Pista: - Alpha Crucis, meu PC deu pau.
 - E agora, Alpha Delphini, como vamos jogar CS?
 - Ah! Eu tenho uma idéia...",IAG
ML_2016_00188,"- Com licença. Qual seria a sua operadora?
 - Ah, eu uso chip da Telesp.",Frodo,,,,,,,,,,,,,,Massa,CENTRO DE VISITANTES,"Placa de fiação
 telefônica","A primeira frase é alguém fazendo uma pergunta,
 pedindo uma informação, o que remete ao Centro 
 de Informações no P1.
 Telesp remete ao símbolo da empresa
 contido na caixa de fiação telefônica no chão.",Externa,TRUE,TRUE,TRUE,,2016,,,,,"Macro usual.
 Micro muito bem determinado.",,"||Pista: - Com licença. Qual seria a sua operadora?
 - Ah, eu uso chip da Telesp. | Explicação: A primeira frase é alguém fazendo uma pergunta,
 pedindo uma informação, o que remete ao Centro 
 de Informações no P1.
 Telesp remete ao símbolo da empresa
 contido na caixa de fiação telefônica no chão. | Macro: CENTRO DE VISITANTES | Micro: Placa de fiação
 telefônica","||Pista: - Com licença. Qual seria a sua operadora?
 - Ah, eu uso chip da Telesp.",Centro de Visitantes
ML_2015_00015,"- É aqui que passa o riozinho?- Se pá, hmm... não! Do outro lado!",Pescoço,1,,,,,,,1,,1,,,,Bracco,CEPAM,Ponto de ônibus (outro lado da avenida),"Rio Pequeno (Riozinho) é uma linha de ônibus que passa pela USP.
 ""Se pá, hmm"" é cacofonia de CEPAM, mas a linha de ônibus no ponto do CEPAM vai pro sentido contrário, então tem que pegar o ônibus do outro lado da avenida, no ponto da biblioteca da química.",Externa,TRUE,TRUE,TRUE,,2015,,TRUE,,,,3,"||Pista: - É aqui que passa o riozinho?- Se pá, hmm... não! Do outro lado! | Explicação: Rio Pequeno (Riozinho) é uma linha de ônibus que passa pela USP.
 ""Se pá, hmm"" é cacofonia de CEPAM, mas a linha de ônibus no ponto do CEPAM vai pro sentido contrário, então tem que pegar o ônibus do outro lado da avenida, no ponto da biblioteca da química. | Macro: CEPAM | Micro: Ponto de ônibus (outro lado da avenida)","||Pista: - É aqui que passa o riozinho?- Se pá, hmm... não! Do outro lado!",CEPAM
ML_2017_00183,"- Eu não quero aqui, prefiro uma poltrona
 - Vida, você pede tanta coisa...",Favela,1,,,,1,,,,,,,,,Rossi,Bancos,Caixa - banco,"Poltrona remete a banco. Slogan da Caixa Econômica Federal ""A vida pede mais que um banco""",Externa,TRUE,TRUE,TRUE,,2017,,TRUE,,Banco em frente à caixa,,,"||Pista: - Eu não quero aqui, prefiro uma poltrona
 - Vida, você pede tanta coisa... | Explicação: Poltrona remete a banco. Slogan da Caixa Econômica Federal ""A vida pede mais que um banco"" | Macro: Bancos | Micro: Caixa - banco","||Pista: - Eu não quero aqui, prefiro uma poltrona
 - Vida, você pede tanta coisa...",Bancos
ML_2019_00365,"- Não adianta discutir Reforma da Previdência sem ver os números
 - Eu já pedi, mas quem faz as análises é a Dé
 - Mas essa francesa não faz nada... Por isso que eu prego o Estado mínimo",Anitta,1,,,,,,,,,,,,,,SEADE,-,"Dé em francês é dado, levando para ""análises de dados"". Estado mínimo faz referência a ser análise de dados do estado, levando para o SEADE",,TRUE,TRUE,TRUE,,2019,,TRUE,,,,,"||Pista: - Não adianta discutir Reforma da Previdência sem ver os números
 - Eu já pedi, mas quem faz as análises é a Dé
 - Mas essa francesa não faz nada... Por isso que eu prego o Estado mínimo | Explicação: Dé em francês é dado, levando para ""análises de dados"". Estado mínimo faz referência a ser análise de dados do estado, levando para o SEADE | Macro: SEADE | Micro: -","||Pista: - Não adianta discutir Reforma da Previdência sem ver os números
 - Eu já pedi, mas quem faz as análises é a Dé
 - Mas essa francesa não faz nada... Por isso que eu prego o Estado mínimo",Seade
ML_2022_00231,"- Por que demorais, Isaac?
 - Por sua causa, pai.",,,,,,,,,,,,,,,,IF,Auditorio Abrahão de Morais,Isaac é filho de Abrahão e demorais faz referência a de Moraes,,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: - Por que demorais, Isaac?
 - Por sua causa, pai. | Explicação: Isaac é filho de Abrahão e demorais faz referência a de Moraes | Macro: IF | Micro: Auditorio Abrahão de Morais","||Pista: - Por que demorais, Isaac?
 - Por sua causa, pai.",IF
ML_2022_00021,"- Posso deixar a magrela aqui?
 - Aqui não, tá em obras, Eliana.",,,,,,,,,,,,,,,,Brasiliana,Placa de proibido moto,"Ta em obras, Eliana é sonoro pra brasiliana. Magrela é bicicleta e leva ao micro> placa de proibido moto da ponte",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: - Posso deixar a magrela aqui?
 - Aqui não, tá em obras, Eliana. | Explicação: Ta em obras, Eliana é sonoro pra brasiliana. Magrela é bicicleta e leva ao micro> placa de proibido moto da ponte | Macro: Brasiliana | Micro: Placa de proibido moto","||Pista: - Posso deixar a magrela aqui?
 - Aqui não, tá em obras, Eliana.",Brasiliana
ML_2017_00129,"- Quer um pão quentinho? 
 - Não posso tô em cutting. 
 - Mas eu fiz pra você!",,,,,,,,,,,,,,,Corrupto,"Academia do 
 Santander no CEPE",Placa do itau,"O simbolo do santander parece um pão quentinho. 
 Slogan do Itau é feito pra você. No predio do lado da 
 academia do santander no CEPE tem uma placa do itau sendo usada pra tampar um buraco",Interna,TRUE,TRUE,TRUE,,2017,,,,"Placa do Itau perto da
  academia do santander",,,"||Pista: - Quer um pão quentinho? 
 - Não posso tô em cutting. 
 - Mas eu fiz pra você! | Explicação: O simbolo do santander parece um pão quentinho. 
 Slogan do Itau é feito pra você. No predio do lado da 
 academia do santander no CEPE tem uma placa do itau sendo usada pra tampar um buraco | Macro: Academia do 
 Santander no CEPE | Micro: Placa do itau","||Pista: - Quer um pão quentinho? 
 - Não posso tô em cutting. 
 - Mas eu fiz pra você!",CEPE
ML_2022_00137,"-(23562406 + 23560291), -( 46715324 + 46734917), (212153154)",,,,,,,,,,,,,,,,EEFE,bloco d eefe,"Os pares -23.562406, -46.715324 e -23.560291, -46.734917 resultam na Faculdade de Educação e Instituto de Física, respectivamente. Os sinais de soma indicam Educação + Física -> Educação Física -> EEFE. O segundo bloco de números deve ser separado como: 2 12 15 3 15 4, onde utilizando-se uma cifra ""a1z26"" tem-se B L O C O D.",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: -(23562406 + 23560291), -( 46715324 + 46734917), (212153154) | Explicação: Os pares -23.562406, -46.715324 e -23.560291, -46.734917 resultam na Faculdade de Educação e Instituto de Física, respectivamente. Os sinais de soma indicam Educação + Física -> Educação Física -> EEFE. O segundo bloco de números deve ser separado como: 2 12 15 3 15 4, onde utilizando-se uma cifra ""a1z26"" tem-se B L O C O D. | Macro: EEFE | Micro: bloco d eefe","||Pista: -(23562406 + 23560291), -( 46715324 + 46734917), (212153154)",EEFE
